sale_id,product_name,category,quantity,unit_price,sale_date,customer_type
112,Detergent 1kg,Household,15.0,127.0,2026-06-20,Wholesale
113,NAMKEEN 200G  ,Snacks,20.0,62.0,2026-05-10,Walk-in
114,Detergent 1kg,Household,16.0,127.0,2026-04-26,Walk-in
115,Toothpaste,Personal Care,9.0,95.0,2026-05-14,Walk-in
116,Toothpaste,Personal Care,15.0,89.0,2026-01-20,Wholesale
117,Chips,Snacks,9.0,,2026-03-27,Walk-in
118,Sugar 1kg,Grocery,5.0,42.0,2026-03-01,Walk-in
119,Tea Powder 250g,Grocery,3.0,118.0,2026-04-17,Walk-in
120,Namkeen 200g,Snacks,15.0,63.0,2026-04-17,Regular
121,Shampoo,Personal Care,13.0,181.0,2026-05-30,Wholesale
122,Rice 5kg,Grocery,13.0,354.0,2026-05-03,Regular
123,Milk 1L,Dairy,13.0,54.0,2026-04-18,Wholesale
124,Toothpaste,Personal Care,8.0,92.0,2026-03-11,Walk-in
125,Dishwash Liquid,Household,13.0,90.0,2026-03-28,Wholesale
126,Curd 500g,Dairy,15.0,37.0,2026-02-02,Wholesale
127,Rice 5kg,Grocery,19.0,351.0,2026-05-25,Wholesale
128,Rice 5kg,Grocery,14.0,346.0,2026-02-04,Walk-in
129,Soap,Personal Care,9.0,30.0,2026-04-08,Walk-in
130,Shampoo,Personal Care,11.0,182.0,2026-03-28,Walk-in
131,Biscuits,Snacks,9.0,31.0,2026-01-21,Walk-in
132,Rice 5kg,Grocery,2.0,353.0,2026-03-31,Regular
133,Sugar 1kg,Grocery,2.0,50.0,2026-01-08,Regular
134,Shampoo,Personal Care,20.0,175.0,2026-02-09,Regular
135,Tea Powder 250g,Grocery,4.0,122.0,2026-05-25,Regular
136,Detergent 1kg,Household,12.0,129.0,2026-02-12,Wholesale
137,Cooking Oil 1L,Grocery,10.0,147.0,2026-01-28,Wholesale
138,Rice 5kg,Grocery,19.0,349.0,2026-06-23,Walk-in
139,Curd 500g,Dairy,3.0,38.0,2026-06-01,Wholesale
140,Toothpaste,Personal Care,10.0,86.0,2026-06-25,Wholesale
141,Cooking Oil 1L,Grocery,2.0,154.0,2026-03-30,Wholesale
142,Paneer 200g,Dairy,12.0,85.0,2026-01-18,Wholesale
143,Namkeen 200g,Snacks,14.0,55.0,2026-05-06,Regular
144,Paneer 200g,Dairy,15.0,80.0,2026-02-09,Walk-in
145,Soap,Personal Care,9.0,38.0,2026-06-07,Wholesale
146,Dishwash Liquid,Household,14.0,97.0,2026-06-01,Walk-in
147,Namkeen 200g,Snacks,3.0,58.0,2026-03-13,Walk-in
148,Toothpaste,Personal Care,19.0,92.0,2026-06-06,Wholesale
149,Curd 500g,Dairy,1.0,40.0,2026-05-07,Walk-in
150,Soap,Personal Care,7.0,37.0,2026-04-01,Walk-in
151,Namkeen 200g,Snacks,20.0,59.0,2026-06-29,Walk-in
152,Rice 5kg,Grocery,7.0,353.0,2026-01-22,Regular
153,Paneer 200g,Dairy,18.0,82.0,2026-03-03,Wholesale
154,Dishwash Liquid,Household,16.0,100.0,2026-04-25,Regular
155,Sugar 1kg,Grocery,8.0,44.0,2026-04-14,Wholesale
156,Toothpaste,Personal Care,19.0,89.0,2026-04-05,Walk-in
157,Milk 1L,Dairy,18.0,56.0,2026-03-26,Walk-in
158,Detergent 1kg,Household,10.0,129.0,2026-03-06,Regular
159,Cooking Oil 1L,Grocery,11.0,148.0,2026-01-31,Wholesale
160,Soap,Personal Care,7.0,33.0,2026-05-04,Walk-in
161,Chips,Snacks,7.0,16.0,2026-03-17,Regular
162,Milk 1L,Dairy,10.0,52.0,2026-01-04,Wholesale
163,Tea Powder 250g,Grocery,2.0,119.0,2026-01-14,Wholesale
164,Chips,Snacks,16.0,17.0,2026-01-27,Regular
165,Chips,Snacks,16.0,22.0,2026-04-23,Walk-in
166,Soap,Personal Care,9.0,30.0,2026-05-03,Regular
167,Sugar 1kg,Grocery,16.0,46.0,2026-01-19,Wholesale
168,Wheat Flour 5kg,Grocery,5.0,217.0,2026-05-25,Walk-in
169,Sugar 1kg,Grocery,4.0,43.0,2026-05-23,Walk-in
170,Toothpaste,Personal Care,13.0,93.0,2026-04-26,Walk-in
171,Chips,Snacks,14.0,24.0,2026-03-20,Wholesale
172,Wheat Flour 5kg,Grocery,4.0,224.0,2026-02-23,Wholesale
173,Shampoo,Personal Care,3.0,179.0,2026-02-10,Regular
174,Soap,Personal Care,3.0,38.0,2026-02-10,Regular
175,Paneer 200g,Dairy,20.0,82.0,2026-05-01,Walk-in
176,Wheat Flour 5kg,Grocery,10.0,218.0,2026-06-30,Walk-in
177,Detergent 1kg,Household,8.0,126.0,2026-03-09,Wholesale
178,Shampoo,Personal Care,4.0,,2026-05-20,Regular
179,Tea Powder 250g,Grocery,5.0,119.0,2026-01-19,Regular
180,Soap,Personal Care,20.0,34.0,2026-05-26,Walk-in
181,Detergent 1kg,Household,15.0,126.0,2026-06-26,Walk-in
182,Curd 500g,Dairy,17.0,39.0,2026-05-19,Walk-in
183,Detergent 1kg,Household,20.0,126.0,2026-01-11,Walk-in
184,Namkeen 200g,Snacks,9.0,64.0,2026-01-07,Regular
185,Toothpaste,Personal Care,19.0,95.0,2026-05-31,Regular
186,Biscuits,Snacks,2.0,34.0,2026-02-14,Walk-in
187,Detergent 1kg,Household,6.0,129.0,2026-05-30,Walk-in
188,Dishwash Liquid,Household,16.0,91.0,2026-03-31,Walk-in
189,Namkeen 200g,Snacks,4.0,60.0,2026-02-11,Walk-in
190,Paneer 200g,Dairy,10.0,82.0,2026-06-19,Walk-in
191,Wheat Flour 5kg,Grocery,3.0,222.0,2026-03-22,Walk-in
192,Namkeen 200g,Snacks,13.0,56.0,2026-05-12,Regular
193,Detergent 1kg,Household,2.0,131.0,2026-02-18,Wholesale
194,Milk 1L,Dairy,16.0,59.0,2026-06-10,Walk-in
195,Wheat Flour 5kg,Grocery,9.0,218.0,2026-05-21,Regular
196,Chips,Snacks,16.0,22.0,2026-02-01,Regular
197,Toothpaste,Personal Care,10.0,87.0,2026-05-22,Regular
198,Paneer 200g,Dairy,8.0,76.0,2026-01-30,Walk-in
199,Cooking Oil 1L,Grocery,5.0,155.0,2026-05-08,Wholesale
200,Chips,Snacks,9.0,23.0,2026-04-17,Walk-in
201,Dishwash Liquid,Household,15.0,93.0,2026-05-22,Regular
202,Curd 500g,Dairy,20.0,38.0,2026-05-11,Wholesale
203,Tea Powder 250g,Grocery,9.0,116.0,2026-04-17,Walk-in
204,Biscuits,Snacks,10.0,25.0,2026-03-18,Wholesale
205,Dishwash Liquid,Household,15.0,92.0,2026-05-18,Walk-in
206,MILK 1L  ,Dairy,18.0,55.0,2026-05-20,Walk-in
207,Detergent 1kg,Household,7.0,130.0,2026-06-28,Regular
208,Curd 500g,Dairy,14.0,38.0,2026-01-12,Walk-in
209,Dishwash Liquid,Household,13.0,96.0,2026-06-19,Wholesale
210,Tea Powder 250g,Grocery,2.0,122.0,2026-02-02,Wholesale
211,Namkeen 200g,Snacks,15.0,56.0,2026-01-26,Wholesale
212,Detergent 1kg,Household,,125.0,2026-04-15,Wholesale
213,Tea Powder 250g,Grocery,16.0,116.0,2026-03-09,Walk-in
214,Curd 500g,Dairy,3.0,45.0,2026-03-26,Wholesale
215,Curd 500g,Dairy,16.0,40.0,2026-05-19,Regular
216,Sugar 1kg,Grocery,10.0,43.0,2026-02-28,Wholesale
217,Sugar 1kg,Grocery,4.0,46.0,2026-06-12,Wholesale
218,Cooking Oil 1L,Grocery,6.0,152.0,2026-06-27,Walk-in
219,Rice 5kg,Grocery,11.0,345.0,2026-01-15,Walk-in
220,Milk 1L,Dairy,14.0,55.0,2026-02-07,Regular
221,Paneer 200g,Dairy,6.0,84.0,2026-02-13,Regular
222,Sugar 1kg,Grocery,13.0,49.0,2026-06-08,Wholesale
223,Toothpaste,Personal Care,19.0,92.0,2026-02-06,Regular
224,Detergent 1kg,Household,9.0,135.0,2026-04-28,Walk-in
225,Rice 5kg,Grocery,10.0,352.0,2026-06-23,Wholesale
226,Soap,Personal Care,15.0,31.0,2026-03-30,Wholesale
227,Chips,Snacks,14.0,25.0,2026-06-26,Walk-in
228,Detergent 1kg,Household,7.0,129.0,2026-04-09,Walk-in
229,Cooking Oil 1L,Grocery,13.0,148.0,2026-05-27,Walk-in
230,Chips,Snacks,1.0,19.0,2026-06-18,Walk-in
231,Biscuits,Snacks,19.0,25.0,2026-06-25,Wholesale
232,Wheat Flour 5kg,Grocery,16.0,224.0,2026-03-15,Regular
233,Milk 1L,Dairy,7.0,53.0,2026-06-08,Walk-in
234,Tea Powder 250g,Grocery,4.0,125.0,2026-06-10,Wholesale
235,Wheat Flour 5kg,Grocery,15.0,219.0,2026-01-09,Wholesale
236,Milk 1L,Dairy,3.0,52.0,2026-03-17,Walk-in
237,Paneer 200g,Dairy,7.0,77.0,2026-02-03,Wholesale
238,Milk 1L,Dairy,17.0,58.0,2026-03-11,Regular
239,Biscuits,Snacks,10.0,32.0,2026-03-28,Regular
240,Detergent 1kg,Household,5.0,126.0,2026-02-27,Wholesale
241,Curd 500g,Dairy,12.0,43.0,2026-01-24,Walk-in
242,Rice 5kg,Grocery,18.0,349.0,2026-02-01,Walk-in
243,Milk 1L,Dairy,9.0,60.0,2026-05-30,Walk-in
244,Milk 1L,Dairy,8.0,51.0,2026-05-01,Regular
245,Namkeen 200g,Snacks,8.0,64.0,2026-06-15,Regular
246,Detergent 1kg,Household,14.0,129.0,2026-01-30,Regular
247,Wheat Flour 5kg,Grocery,10.0,215.0,2026-05-07,Regular
248,Cooking Oil 1L,Grocery,18.0,148.0,2026-02-04,Walk-in
249,Detergent 1kg,Household,18.0,130.0,2026-04-18,Wholesale
250,Tea Powder 250g,Grocery,4.0,121.0,2026-05-06,Wholesale
251,Paneer 200g,Dairy,2.0,79.0,2026-06-26,Walk-in
252,Shampoo,Personal Care,15.0,182.0,2026-03-02,Walk-in
253,Cooking Oil 1L,Grocery,12.0,155.0,2026-05-20,Wholesale
254,Milk 1L,Dairy,13.0,50.0,2026-03-12,Regular
255,Cooking Oil 1L,Grocery,3.0,152.0,2026-06-19,Regular
256,Rice 5kg,Grocery,11.0,345.0,2026-03-04,Regular
257,Shampoo,Personal Care,18.0,176.0,2026-02-23,Wholesale
258,Shampoo,Personal Care,11.0,178.0,2026-02-07,Wholesale
259,Rice 5kg,Grocery,5.0,349.0,2026-02-03,Wholesale
260,Biscuits,Snacks,4.0,27.0,2026-06-19,Regular
261,Tea Powder 250g,Grocery,12.0,115.0,2026-03-02,Wholesale
262,Namkeen 200g,Snacks,6.0,55.0,2026-03-09,Regular
263,Tea Powder 250g,Grocery,17.0,121.0,2026-01-30,Wholesale
264,Sugar 1kg,Grocery,15.0,47.0,2026-04-03,Wholesale
265,Cooking Oil 1L,Grocery,17.0,152.0,2026-02-26,Wholesale
266,Wheat Flour 5kg,Grocery,17.0,225.0,2026-03-19,Walk-in
267,Rice 5kg,Grocery,16.0,345.0,2026-04-13,Walk-in
268,Cooking Oil 1L,Grocery,15.0,152.0,2026-01-19,Regular
269,Namkeen 200g,Snacks,5.0,64.0,2026-01-17,Regular
270,Biscuits,Snacks,19.0,34.0,2026-05-21,Wholesale
271,Namkeen 200g,Snacks,20.0,61.0,2026-05-16,Walk-in
272,Detergent 1kg,Household,20.0,133.0,2026-04-21,Regular
273,Cooking Oil 1L,Grocery,18.0,155.0,2026-02-25,Walk-in
274,Detergent 1kg,Household,14.0,128.0,2026-03-28,Walk-in
275,Curd 500g,Dairy,4.0,41.0,2026-03-22,Walk-in
276,Namkeen 200g,Snacks,9.0,65.0,2026-04-06,Regular
277,Dishwash Liquid,Household,3.0,91.0,2026-01-22,Regular
278,Paneer 200g,Dairy,12.0,76.0,2026-02-03,Wholesale
279,Wheat Flour 5kg,Grocery,18.0,224.0,2026-05-24,Walk-in
280,Cooking Oil 1L,Grocery,12.0,151.0,2026-06-20,Walk-in
281,Wheat Flour 5kg,Grocery,20.0,219.0,2026-03-21,Walk-in
282,Cooking Oil 1L,Grocery,17.0,154.0,2026-02-24,Regular
283,DISHWASH LIQUID  ,Household,4.0,93.0,2026-03-31,Wholesale
284,Milk 1L,Dairy,9.0,51.0,2026-05-27,Regular
285,Paneer 200g,Dairy,20.0,83.0,2026-06-07,Wholesale
286,Rice 5kg,Grocery,9.0,354.0,2026-01-08,Regular
287,Biscuits,Snacks,11.0,29.0,2026-03-31,Regular
288,Soap,Personal Care,19.0,32.0,2026-06-18,Walk-in
289,Sugar 1kg,Grocery,1.0,42.0,2026-01-24,Wholesale
290,Shampoo,Personal Care,14.0,181.0,2026-04-27,Walk-in
291,Soap,Personal Care,10.0,35.0,2026-03-25,Wholesale
292,Sugar 1kg,Grocery,5.0,40.0,2026-02-10,Wholesale
293,Wheat Flour 5kg,Grocery,3.0,225.0,2026-03-11,Walk-in
294,Paneer 200g,Dairy,20.0,82.0,2026-04-24,Walk-in
295,Biscuits,Snacks,17.0,28.0,2026-01-30,Walk-in
296,Paneer 200g,Dairy,10.0,76.0,2026-06-23,Wholesale
297,Dishwash Liquid,Household,,98.0,2026-01-12,Regular
298,Curd 500g,Dairy,2.0,44.0,2026-01-02,Regular
299,Chips,Snacks,5.0,18.0,2026-03-07,Walk-in
300,Namkeen 200g,Snacks,1.0,56.0,2026-05-08,Wholesale
301,Paneer 200g,Dairy,5.0,77.0,2026-04-08,Wholesale
302,Toothpaste,Personal Care,18.0,93.0,2026-06-21,Walk-in
303,Sugar 1kg,Grocery,2.0,46.0,2026-04-22,Regular
304,DETERGENT 1KG  ,Household,11.0,126.0,2026-05-28,Walk-in
305,Curd 500g,Dairy,14.0,45.0,2026-03-16,Regular
306,Curd 500g,Dairy,11.0,35.0,2026-02-13,Wholesale
307,Detergent 1kg,Household,3.0,130.0,2026-04-22,Regular
308,Toothpaste,Personal Care,19.0,91.0,2026-04-13,Wholesale
309,Sugar 1kg,Grocery,10.0,46.0,2026-03-28,Regular
310,Namkeen 200g,Snacks,3.0,57.0,2026-05-11,Wholesale
311,Cooking Oil 1L,Grocery,17.0,153.0,2026-02-19,Walk-in
312,Milk 1L,Dairy,5.0,60.0,2026-03-02,Regular
313,Tea Powder 250g,Grocery,7.0,119.0,2026-02-14,Wholesale
314,Tea Powder 250g,Grocery,3.0,125.0,2026-02-15,Wholesale
315,Dishwash Liquid,Household,19.0,97.0,2026-05-29,Walk-in
316,Namkeen 200g,Snacks,11.0,65.0,2026-02-08,Walk-in
317,Sugar 1kg,Grocery,15.0,47.0,2026-06-11,Walk-in
318,Biscuits,Snacks,2.0,34.0,2026-04-01,Wholesale
319,Sugar 1kg,Grocery,15.0,44.0,2026-04-26,Regular
320,Wheat Flour 5kg,Grocery,10.0,220.0,2026-01-20,Wholesale
321,Sugar 1kg,Grocery,20.0,49.0,2026-05-10,Walk-in
322,Detergent 1kg,Household,,134.0,2026-01-11,Walk-in
323,Shampoo,Personal Care,20.0,180.0,2026-05-02,Wholesale
324,Tea Powder 250g,Grocery,15.0,115.0,2026-01-27,Walk-in
325,Sugar 1kg,Grocery,6.0,48.0,2026-01-11,Regular
326,Detergent 1kg,Household,17.0,132.0,2026-05-14,Wholesale
327,Soap,Personal Care,12.0,35.0,2026-03-14,Walk-in
328,Paneer 200g,Dairy,20.0,80.0,2026-01-14,Wholesale
329,Namkeen 200g,Snacks,11.0,56.0,2026-01-25,Wholesale
330,Curd 500g,Dairy,9.0,39.0,2026-06-18,Wholesale
331,Tea Powder 250g,Grocery,3.0,120.0,2026-05-30,Wholesale
332,Tea Powder 250g,Grocery,10.0,120.0,2026-06-17,Wholesale
333,Curd 500g,Dairy,20.0,37.0,2026-01-22,Walk-in
334,Curd 500g,Dairy,11.0,45.0,2026-02-02,Wholesale
335,Sugar 1kg,Grocery,14.0,50.0,2026-05-11,Walk-in
336,Rice 5kg,Grocery,10.0,350.0,2026-02-16,Regular
337,Namkeen 200g,Snacks,7.0,62.0,2026-02-27,Regular
338,Tea Powder 250g,Grocery,10.0,116.0,2026-01-26,Wholesale
339,Wheat Flour 5kg,Grocery,11.0,225.0,2026-06-08,Regular
340,Curd 500g,Dairy,6.0,37.0,2026-02-16,Wholesale
341,Soap,Personal Care,2.0,37.0,2026-04-16,Walk-in
342,Toothpaste,Personal Care,20.0,92.0,2026-03-14,Wholesale
343,Detergent 1kg,Household,18.0,128.0,2026-03-03,Walk-in
344,Dishwash Liquid,Household,12.0,,2026-06-23,Wholesale
345,Detergent 1kg,Household,10.0,132.0,2026-04-08,Wholesale
346,Paneer 200g,Dairy,7.0,77.0,2026-06-04,Regular
347,Biscuits,Snacks,16.0,25.0,2026-04-06,Wholesale
348,Cooking Oil 1L,Grocery,4.0,153.0,2026-03-14,Regular
349,Soap,Personal Care,15.0,34.0,2026-05-12,Regular
350,Paneer 200g,Dairy,8.0,76.0,2026-04-26,Walk-in
351,Rice 5kg,Grocery,2.0,351.0,2026-04-12,Wholesale
352,Milk 1L,Dairy,13.0,53.0,2026-01-21,Walk-in
353,Toothpaste,Personal Care,11.0,85.0,2026-01-26,Wholesale
354,Namkeen 200g,Snacks,5.0,57.0,2026-01-10,Walk-in
355,Dishwash Liquid,Household,16.0,92.0,2026-04-25,Wholesale
356,Rice 5kg,Grocery,1.0,346.0,2026-03-07,Regular
357,Tea Powder 250g,Grocery,20.0,123.0,2026-05-16,Walk-in
358,Cooking Oil 1L,Grocery,8.0,149.0,2026-03-19,Regular
359,Wheat Flour 5kg,Grocery,14.0,218.0,2026-06-13,Wholesale
360,Detergent 1kg,Household,4.0,126.0,2026-05-08,Wholesale
361,Rice 5kg,Grocery,17.0,355.0,2026-05-28,Regular
362,Tea Powder 250g,Grocery,14.0,119.0,2026-01-01,Wholesale
363,Milk 1L,Dairy,19.0,53.0,2026-04-17,Regular
364,Sugar 1kg,Grocery,12.0,48.0,2026-01-18,Wholesale
365,Rice 5kg,Grocery,16.0,351.0,2026-01-12,Wholesale
366,CURD 500G  ,Dairy,9.0,40.0,2026-01-05,Walk-in
367,Sugar 1kg,Grocery,8.0,45.0,2026-06-18,Wholesale
368,Cooking Oil 1L,Grocery,11.0,154.0,2026-02-04,Regular
369,Milk 1L,Dairy,11.0,58.0,2026-06-14,Regular
370,Detergent 1kg,Household,6.0,132.0,2026-02-04,Regular
371,Detergent 1kg,Household,10.0,125.0,2026-02-21,Regular
372,Shampoo,Personal Care,11.0,175.0,2026-03-21,Wholesale
373,Curd 500g,Dairy,16.0,43.0,2026-03-06,Regular
374,Shampoo,Personal Care,12.0,179.0,2026-01-13,Wholesale
375,Namkeen 200g,Snacks,4.0,59.0,2026-04-05,Walk-in
376,Curd 500g,Dairy,13.0,42.0,2026-03-28,Regular
377,Dishwash Liquid,Household,12.0,97.0,2026-05-13,Walk-in
378,Sugar 1kg,Grocery,3.0,46.0,2026-04-21,Wholesale
379,Soap,Personal Care,10.0,38.0,2026-03-24,Regular
380,Sugar 1kg,Grocery,10.0,45.0,2026-03-20,Walk-in
381,Paneer 200g,Dairy,15.0,77.0,2026-03-31,Walk-in
382,Wheat Flour 5kg,Grocery,20.0,220.0,2026-04-22,Walk-in
383,Wheat Flour 5kg,Grocery,13.0,216.0,2026-04-04,Wholesale
384,Soap,Personal Care,5.0,30.0,2026-06-05,Wholesale
385,Detergent 1kg,Household,5.0,125.0,2026-01-18,Regular
386,Milk 1L,Dairy,13.0,55.0,2026-05-26,Regular
387,Tea Powder 250g,Grocery,15.0,125.0,2026-04-05,Walk-in
388,Detergent 1kg,Household,19.0,126.0,2026-02-05,Wholesale
389,Milk 1L,Dairy,11.0,56.0,2026-06-16,Walk-in
390,Toothpaste,Personal Care,1.0,86.0,2026-02-17,Walk-in
391,Curd 500g,Dairy,4.0,43.0,2026-03-09,Walk-in
392,Detergent 1kg,Household,20.0,128.0,2026-03-15,Wholesale
393,Dishwash Liquid,Household,4.0,93.0,2026-02-04,Regular
